timestamp,messageType,latency,statusCode,roomId
1773008456723,TEXT,33,success,16
1773008456723,TEXT,33,success,11
1773008456715,JOIN,41,success,18
1773008456715,TEXT,41,success,14
1773008456719,TEXT,40,success,1
1773008456722,TEXT,40,success,11
1773008456722,TEXT,40,success,19
1773008456719,JOIN,43,success,17
1773008456722,TEXT,40,success,3
1773008456726,TEXT,39,success,18
1773008456726,TEXT,39,success,13
1773008456726,TEXT,39,success,19
1773008456728,TEXT,40,success,13
1773008456728,TEXT,45,success,11
1773008456737,TEXT,36,success,17
1773008456729,TEXT,44,success,15
1773008456737,TEXT,38,success,11
1773008456737,TEXT,40,success,16
1773008456745,TEXT,32,success,6
1773008456745,TEXT,36,success,1
1773008456737,TEXT,44,success,14
1773008456746,TEXT,41,success,20
1773008456756,TEXT,31,success,2
1773008456746,LEAVE,46,success,2
1773008456756,TEXT,36,success,16
1773008456756,TEXT,37,success,11
1773008456762,TEXT,31,success,19
1773008456765,JOIN,28,success,19
1773008456756,JOIN,37,success,14
1773008456756,TEXT,38,success,18
1773008456762,TEXT,35,success,17
1773008456765,TEXT,32,success,18
1773008456762,TEXT,35,success,3
1773008456762,TEXT,35,success,11
1773008456765,JOIN,32,success,13
1773008456756,TEXT,45,success,5
1773008456768,TEXT,33,success,13
1773008456759,TEXT,42,success,1
1773008456773,TEXT,34,success,11
1773008456773,TEXT,34,success,15
1773008456773,TEXT,39,success,17
1773008456775,TEXT,37,success,11
1773008456777,TEXT,35,success,16
1773008456781,TEXT,38,success,14
1773008456781,TEXT,38,success,1
1773008456777,TEXT,42,success,6
1773008456793,TEXT,35,success,11
1773008456792,TEXT,36,success,16
1773008456792,TEXT,36,success,2
1773008456787,TEXT,43,success,20
1773008456797,TEXT,35,success,18
1773008456787,TEXT,45,success,2
1773008456797,TEXT,38,success,17
1773008456797,TEXT,38,success,11
1773008456793,TEXT,42,success,19
1773008456793,JOIN,44,success,14
1773008456807,TEXT,30,success,11
1773008456794,TEXT,49,success,18
1773008456793,TEXT,50,success,19
1773008456797,JOIN,46,success,3
1773008456801,TEXT,42,success,5
1773008456801,TEXT,42,success,1
1773008456797,TEXT,51,success,13
1773008456819,TEXT,29,success,6
1773008456801,TEXT,47,success,13
1773008456819,TEXT,29,success,14
1773008456812,TEXT,37,success,17
1773008456807,TEXT,42,success,15
1773008456828,TEXT,25,success,11
1773008456819,TEXT,34,success,1
1773008456812,TEXT,43,success,11
1773008456812,JOIN,43,success,16
1773008456828,TEXT,36,success,2
1773008456828,TEXT,36,success,16
1773008456830,TEXT,34,success,20
1773008456832,TEXT,34,success,18
1773008456832,TEXT,34,success,2
1773008456835,TEXT,37,success,17
1773008456835,TEXT,37,success,19
1773008456835,TEXT,37,success,11
1773008456837,TEXT,47,success,11
1773008456843,TEXT,41,success,19
1773008456849,TEXT,35,success,17
1773008456837,TEXT,47,success,14
1773008456843,TEXT,41,success,18
1773008456848,TEXT,38,success,6
1773008456843,TEXT,43,success,1
1773008456848,LEAVE,38,success,14
1773008456848,TEXT,38,success,13
1773008456843,TEXT,43,success,5
1773008456849,TEXT,40,success,15
1773008456843,TEXT,47,success,3
1773008456848,TEXT,47,success,13
1773008456853,TEXT,42,success,11
1773008456853,TEXT,42,success,1
1773008456864,TEXT,34,success,20
1773008456864,TEXT,34,success,2
1773008456855,TEXT,43,success,16
1773008456866,TEXT,35,success,2
1773008456866,TEXT,35,success,18
1773008456864,TEXT,37,success,16
1773008456872,TEXT,33,success,17
1773008456872,TEXT,33,success,19
1773008456855,JOIN,50,success,11
1773008456872,TEXT,36,success,11
1773008456884,TEXT,26,success,17
1773008456884,JOIN,36,success,11
1773008456884,TEXT,39,success,18
1773008456884,TEXT,39,success,19
1773008456884,TEXT,39,success,14
1773008456886,TEXT,40,success,6
1773008456886,TEXT,40,success,14
1773008456886,LEAVE,40,success,5
1773008456889,TEXT,37,success,15
1773008456886,TEXT,40,success,1
1773008456895,TEXT,31,success,1
1773008456886,TEXT,44,success,13
1773008456895,TEXT,35,success,13
1773008456895,TEXT,35,success,11
1773008456901,TEXT,33,success,16
1773008456898,TEXT,36,success,2
1773008456890,TEXT,47,success,3
1773008456905,TEXT,32,success,17
1773008456898,TEXT,39,success,20
1773008456901,TEXT,38,success,18
1773008456901,TEXT,38,success,2
1773008456898,TEXT,43,success,16
1773008456905,TEXT,36,success,19
1773008456905,JOIN,39,success,11
1773008456920,TEXT,27,success,11
1773008456908,TEXT,39,success,11
1773008456910,TEXT,37,success,17
1773008456923,TEXT,26,success,18
1773008456926,TEXT,30,success,6
1773008456926,TEXT,30,success,5
1773008456923,TEXT,36,success,14
1773008456934,TEXT,28,broadcast,2
1773008456926,TEXT,40,success,15
1773008456926,TEXT,40,success,14
1773008456930,TEXT,37,success,11
1773008456926,TEXT,41,success,1
1773008456934,TEXT,33,success,16
1773008456930,TEXT,37,success,13
1773008456926,TEXT,43,success,1
1773008456923,TEXT,46,success,19
1773008456930,TEXT,39,success,13
1773008456939,TEXT,32,broadcast,2
1773008456937,TEXT,38,success,20
1773008456937,JOIN,38,success,3
1773008456941,TEXT,34,success,16
1773008456937,TEXT,41,success,17
1773008456941,TEXT,39,success,19
1773008456947,TEXT,37,success,11
1773008456939,TEXT,45,success,18
1773008456944,TEXT,44,success,11
1773008456947,TEXT,41,success,11
1773008456956,TEXT,36,success,6
1773008456947,TEXT,45,success,17
1773008456949,TEXT,44,success,18
1773008456956,TEXT,41,success,5
1773008456962,TEXT,35,success,2
1773008456966,TEXT,37,success,14
1773008456968,TEXT,35,success,11
1773008456968,TEXT,35,success,13
1773008456969,TEXT,34,success,1
1773008456968,TEXT,35,success,16
1773008456971,TEXT,36,success,2
1773008456966,JOIN,41,success,15
1773008456959,TEXT,48,success,14
1773008456969,TEXT,40,success,19
1773008456968,TEXT,43,success,1
1773008456975,TEXT,36,success,20
1773008456969,TEXT,47,success,13
1773008456992,TEXT,28,success,17
1773008456984,TEXT,36,success,18
1773008456975,TEXT,45,success,3
1773008456988,JOIN,32,success,11
1773008456988,TEXT,33,success,11
1773008456984,TEXT,37,success,11
1773008456993,TEXT,34,success,18
1773008456992,TEXT,35,success,6
1773008457003,TEXT,24,broadcast,1
1773008456975,TEXT,52,success,16
1773008456980,TEXT,47,success,19
1773008456997,TEXT,32,success,2
1773008456978,TEXT,55,success,17
1773008457003,TEXT,30,success,14
1773008457003,TEXT,30,success,13
1773008457003,TEXT,33,broadcast,16
1773008456997,TEXT,39,success,5
1773008457003,TEXT,33,success,11
1773008457007,TEXT,31,success,2
1773008457007,TEXT,36,success,14
1773008457007,TEXT,39,success,15
1773008457011,TEXT,37,broadcast,1
1773008457020,TEXT,30,success,17
1773008457020,TEXT,30,success,18
1773008457009,TEXT,45,success,19
1773008457027,TEXT,27,success,1
1773008457027,TEXT,30,broadcast,16
1773008457020,TEXT,37,success,11
1773008457011,LEAVE,46,success,20
1773008457020,TEXT,37,success,3
1773008457036,LEAVE,24,success,16
1773008457029,TEXT,31,success,2
1773008457021,TEXT,39,success,11
1773008457016,TEXT,45,success,13
1773008457021,TEXT,40,success,11
1773008457027,TEXT,34,success,18
1773008457033,TEXT,30,success,14
1773008457027,TEXT,36,success,6
1773008457036,TEXT,33,success,5
1773008457033,TEXT,37,success,17
