Throughput Over Time
====================
Time (seconds), Messages/Second
0, 778.70
10, 820.60
20, 854.90
30, 45.80
60, 1096.10
70, 1191.30
80, 1243.20
90, 1245.40
100, 1243.80
110, 1229.40
120, 1159.40
130, 918.90
140, 1172.20
150, 712.00
160, 850.60
170, 1231.10
180, 839.30
190, 452.00
200, 247.30
210, 493.30
220, 483.60
230, 690.50
240, 404.30
250, 520.50
260, 165.40
270, 172.20
280, 968.60
290, 1222.70
300, 339.70
310, 422.00
320, 148.40
330, 319.50
340, 955.70
350, 115.20
360, 128.00
370, 588.00
380, 239.90
390, 249.80
400, 6.30
470, 4.80
480, 5119.50
490, 6434.30
