Throughput Over Time
====================
Time (seconds), Messages/Second
0, 997.90
10, 1001.20
20, 943.00
30, 1277.80
40, 1782.10
50, 1816.20
60, 1829.10
70, 1890.60
80, 1885.80
90, 1884.80
100, 1782.00
110, 1823.90
120, 1856.00
130, 1792.80
140, 1821.30
150, 1854.20
160, 1866.10
170, 1855.50
180, 1865.40
190, 1878.90
200, 1833.00
210, 1891.70
220, 1900.60
230, 1846.60
240, 1926.60
250, 1899.70
260, 1827.50
270, 1651.90
280, 1109.10
290, 408.70
