timestamp,messageType,latency,statusCode,roomId
1771019906516,TEXT,144,success,18
1771019906525,TEXT,139,success,7
1771019906519,TEXT,145,success,1
1771019906517,TEXT,148,success,12
1771019906517,TEXT,147,success,16
1771019906532,TEXT,133,success,5
1771019906525,TEXT,140,success,18
1771019906517,TEXT,147,success,4
1771019906517,TEXT,148,success,4
1771019906518,TEXT,148,success,7
1771019906517,TEXT,148,success,10
1771019906517,TEXT,148,success,3
1771019906532,TEXT,134,success,2
1771019906519,TEXT,148,success,15
1771019906524,TEXT,143,success,16
1771019906519,TEXT,149,success,4
1771019906525,TEXT,143,success,9
1771019906524,TEXT,144,success,18
1771019906518,TEXT,151,success,4
1771019906531,TEXT,138,success,10
1771019906531,JOIN,138,success,9
1771019906519,TEXT,150,success,2
1771019906532,TEXT,137,success,16
1771019906519,TEXT,150,success,4
1771019906531,TEXT,139,success,14
1771019906525,TEXT,145,success,20
1771019906532,TEXT,138,success,18
1771019906519,TEXT,152,success,5
1771019906524,TEXT,147,success,8
1771019906525,TEXT,146,success,7
1771019906525,JOIN,146,success,2
1771019906525,LEAVE,146,success,10
1771019906666,TEXT,36,success,7
1771019906670,TEXT,32,success,9
1771019906666,TEXT,36,success,10
1771019906666,TEXT,36,success,18
1771019906666,TEXT,36,success,2
1771019906665,TEXT,37,success,7
1771019906666,TEXT,36,success,3
1771019906666,TEXT,36,success,12
1771019906666,TEXT,36,success,16
1771019906668,TEXT,40,success,16
1771019906667,TEXT,41,success,15
1771019906666,TEXT,42,success,4
1771019906661,TEXT,47,success,18
1771019906670,TEXT,38,success,18
1771019906666,JOIN,42,success,4
1771019906670,TEXT,38,success,4
1771019906670,LEAVE,38,success,4
1771019906671,TEXT,37,success,20
1771019906665,TEXT,43,success,1
1771019906666,JOIN,42,success,5
1771019906671,TEXT,37,success,7
1771019906670,LEAVE,38,success,2
1771019906670,TEXT,38,success,16
1771019906671,TEXT,37,success,8
1771019906671,TEXT,37,success,5
1771019906672,TEXT,37,success,10
1771019906670,LEAVE,39,success,9
1771019906670,TEXT,39,success,10
1771019906671,TEXT,38,success,18
1771019906671,TEXT,38,success,2
1771019906670,TEXT,39,success,14
1771019906670,TEXT,39,success,4
1771019906703,TEXT,25,success,16
1771019906702,TEXT,37,success,18
1771019906702,TEXT,37,success,7
1771019906702,TEXT,38,success,10
1771019906702,TEXT,38,success,9
1771019906702,TEXT,38,success,7
1771019906708,TEXT,37,success,18
1771019906708,TEXT,46,success,1
1771019906703,TEXT,51,success,12
1771019906702,JOIN,52,success,2
1771019906708,TEXT,46,success,4
1771019906702,LEAVE,52,success,3
1771019906708,TEXT,46,success,4
1771019906708,LEAVE,46,success,5
1771019906708,TEXT,46,success,16
1771019906708,JOIN,46,success,7
1771019906708,TEXT,55,success,15
1771019906709,TEXT,54,success,10
1771019906708,LEAVE,55,success,20
1771019906709,TEXT,54,success,4
